date,station,temp_mean_c,temp_min_c,temp_max_c,dewpoint_mean_c,relative_humidity_mean,wind_speed_mean_mps,precipitation_mm,latitude,longitude,elevation_m,source_type
2019-12-18,IOW,-6.296296296296297,-10.61111111111111,-3.277777777777777,-12.719907407407407,61.80583333333333,3.1245053134615386,0.0,41.6394,-91.5445,204.0,public observation
2019-12-19,IOW,-3.155092592592593,-7.777777777777778,6.666666666666667,-8.36574074074074,68.32666666666667,2.3380820256410257,0.0,41.6394,-91.5445,204.0,public observation
2019-12-20,IOW,0.8472222222222224,-3.277777777777777,8.333333333333334,-3.9768518518518516,71.95791666666666,1.4988128076923077,0.0,41.6394,-91.5445,204.0,public observation
2019-12-21,IOW,0.7916666666666665,-6.166666666666668,10.555555555555555,-3.392361111111111,74.96249999999999,1.2086136282051283,0.0,41.6394,-91.5445,204.0,public observation
2019-12-22,IOW,3.693314594356261,-3.3148148148148158,12.777777777777779,-0.7704750881834214,75.30402281746032,2.174309435167379,0.0,41.6394,-91.5445,204.0,public observation
2019-12-23,IOW,3.8680555555555554,-2.5,10.0,0.39699074074074076,79.17131944444445,1.0148177367521367,0.0,41.6394,-91.5445,204.0,public observation
2019-12-24,IOW,3.610223765432099,-1.8888888888888882,13.88888888888889,-0.07260802469135814,79.28408333333333,1.1202947456876458,0.0,41.6394,-91.5445,204.0,public observation
2019-12-25,IOW,5.630246913580247,-0.777777777777777,16.666666666666668,2.079783950617284,79.99366666666667,1.3661987445156696,0.0,41.6394,-91.5445,204.0,public observation
2019-12-26,IOW,4.4309413580246915,0.5555555555555556,10.555555555555555,1.9081790123456785,84.02944444444445,2.5229318756944443,0.0,41.6394,-91.5445,204.0,public observation
2019-12-27,IOW,1.8188657407407407,-0.6111111111111119,5.0,-3.1591435185185177,69.98864583333334,3.131458002136752,0.0,41.6394,-91.5445,204.0,public observation
2019-12-28,IOW,3.744598765432098,0.0,9.222222222222221,0.7222222222222222,82.11871212121213,3.2459241476495726,11.175999999999998,41.6394,-91.5445,204.0,public observation
2019-12-29,IOW,11.075617283950619,6.388888888888889,13.88888888888889,8.230273752012883,82.98159420289855,5.2567783322649575,20.32,41.6394,-91.5445,204.0,public observation
2019-12-30,IOW,0.20640432098765374,-2.2222222222222223,5.777777777777777,-3.955439814814815,73.79680555555557,7.047427400854701,0.0,41.6394,-91.5445,204.0,public observation
2019-12-31,IOW,-1.2222222222222225,-2.7777777777777777,1.1111111111111112,-5.641203703703703,71.92,8.16268705944056,0.0,41.6394,-91.5445,204.0,public observation
2020-01-01,IOW,-0.375,-7.222222222222222,8.88888888888889,-5.222222222222222,71.91250000000001,3.1768212532051283,0.0,41.6394,-91.5445,204.0,public observation
