activity_id,date,site_id,characteristic_name,result_value,result_unit,sample_medium,activity_type,latitude,longitude,source_type
nwisia.01.94900003,1949-06-04,USGS-05454500,Specific conductance,402.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700031,1947-07-01,USGS-05454500,"Temperature, water",23.5,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700031,1947-07-01,USGS-05454500,Specific conductance,336.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700026,1947-05-21,USGS-05454500,Specific conductance,481.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300021,1953-03-11,USGS-05454500,Specific conductance,397.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300021,1953-03-11,USGS-05454500,pH,7.7,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600008,1946-01-05,USGS-05454500,Specific conductance,131.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500031,1945-06-20,USGS-05454500,Specific conductance,429.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500031,1945-06-20,USGS-05454500,pH,7.3,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500031,1945-06-20,USGS-05454500,Nitrate,3.84,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800161,2007-12-13,USGS-05454500,pH,7.8,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600011,1946-02-11,USGS-05454500,Specific conductance,285.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500040,1945-08-21,USGS-05454500,Specific conductance,416.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700008,1906-12-17,USGS-05454500,Turbidity,70.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700008,1906-12-17,USGS-05454500,Nitrate,0.791,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00700318,2007-06-22,USGS-05454500,"Temperature, water",23.5,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700005,1906-11-16,USGS-05454500,Turbidity,15.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500037,1945-08-01,USGS-05454500,Specific conductance,534.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300014,1952-12-28,USGS-05454500,pH,8.0,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300014,1952-12-28,USGS-05454500,Specific conductance,561.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600019,1946-05-01,USGS-05454500,"Temperature, water",14.5,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600019,1946-05-01,USGS-05454500,Specific conductance,404.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500003,1944-10-21,USGS-05454500,Specific conductance,486.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700023,1947-04-21,USGS-05454500,"Temperature, water",12.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700023,1947-04-21,USGS-05454500,Specific conductance,464.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500043,1945-09-10,USGS-05454500,Specific conductance,483.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500043,1945-09-10,USGS-05454500,pH,7.7,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500043,1945-09-10,USGS-05454500,Nitrate,0.452,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00700318,2007-06-22,USGS-05454500,Specific conductance,467.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400013,1944-05-21,USGS-05454500,Specific conductance,276.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200010,1952-05-01,USGS-05454500,Specific conductance,515.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200010,1952-05-01,USGS-05454500,pH,8.1,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400019,1944-07-21,USGS-05454500,Specific conductance,492.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500032,1945-06-21,USGS-05454500,Specific conductance,477.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400029,1954-08-26,USGS-05454500,Specific conductance,266.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400029,1954-08-26,USGS-05454500,pH,7.3,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400022,1944-08-21,USGS-05454500,Specific conductance,481.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400006,1944-01-01,USGS-05454500,Specific conductance,620.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400006,1944-01-01,USGS-05454500,pH,7.8,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400006,1944-01-01,USGS-05454500,Nitrate,1.4,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00700318,2007-06-22,USGS-05454500,pH,7.9,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800013,1948-02-20,USGS-05454500,Specific conductance,242.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800013,1948-02-20,USGS-05454500,pH,7.5,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800013,1948-02-20,USGS-05454500,Nitrate,2.26,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800614,2008-06-18,USGS-05454500,Specific conductance,299.0,uS/cm @25C,Water,Quality Control Sample-Field Replicate,41.656,-91.536,public observation
nwisia.01.95300027,1953-06-07,USGS-05454500,Specific conductance,306.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300027,1953-06-07,USGS-05454500,pH,7.3,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500016,1945-02-11,USGS-05454500,Specific conductance,401.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500022,1945-04-01,USGS-05454500,Specific conductance,475.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300012,1952-12-01,USGS-05454500,Specific conductance,538.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300012,1952-12-01,USGS-05454500,pH,7.9,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90600002,1906-09-16,USGS-05454500,Turbidity,100.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90600002,1906-09-16,USGS-05454500,Nitrate,0.407,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800614,2008-06-18,USGS-05454500,pH,7.0,std units,Water,Quality Control Sample-Field Replicate,41.656,-91.536,public observation
nwisia.01.94500011,1945-01-01,USGS-05454500,Specific conductance,635.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700037,1947-07-18,USGS-05454500,"Temperature, water",24.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700037,1947-07-18,USGS-05454500,Specific conductance,509.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800011,1948-01-26,USGS-05454500,Specific conductance,634.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800011,1948-01-26,USGS-05454500,pH,8.0,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800011,1948-01-26,USGS-05454500,Nitrate,1.6,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800614,2008-06-18,USGS-05454500,Nitrate,3.81,mg/L as N,Water,Quality Control Sample-Field Replicate,41.656,-91.536,public observation
nwisia.01.94600031,1946-09-01,USGS-05454500,"Temperature, water",22.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600031,1946-09-01,USGS-05454500,Specific conductance,438.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500026,1945-05-11,USGS-05454500,Specific conductance,414.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95100003,1951-07-03,USGS-05454500,Specific conductance,325.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700007,1906-12-06,USGS-05454500,Turbidity,20.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700007,1906-12-06,USGS-05454500,Nitrate,0.994,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300036,1953-08-24,USGS-05454500,Specific conductance,471.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300036,1953-08-24,USGS-05454500,pH,7.6,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600014,1946-03-11,USGS-05454500,"Temperature, water",6.5,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600014,1946-03-11,USGS-05454500,Specific conductance,308.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700014,1907-02-28,USGS-05454500,Turbidity,240.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700014,1907-02-28,USGS-05454500,Nitrate,1.45,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800604,2008-06-14,USGS-05454500,"Temperature, water",22.7,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400015,1944-06-11,USGS-05454500,Specific conductance,333.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800021,1948-04-02,USGS-05454500,Specific conductance,329.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800021,1948-04-02,USGS-05454500,pH,7.4,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800021,1948-04-02,USGS-05454500,Nitrate,4.07,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.91300005,1913-09-01,USGS-05454500,Turbidity,190.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600010,1946-02-06,USGS-05454500,Specific conductance,211.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200015,1952-08-01,USGS-05454500,Specific conductance,481.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200015,1952-08-01,USGS-05454500,pH,8.0,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700019,1907-04-19,USGS-05454500,Turbidity,30.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600002,1945-10-11,USGS-05454500,"Temperature, water",13.5,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600002,1945-10-11,USGS-05454500,Specific conductance,497.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600026,1946-07-11,USGS-05454500,"Temperature, water",27.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600026,1946-07-11,USGS-05454500,Specific conductance,496.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
